1,14,14,14,989298,221099
2,15,15,15,995406,238242
3,5,5,5,989009,205679
4,20,20,20,988496,204807
5,11,11,11,988317,207285
6,19,19,19,989102,208707
7,16,16,16,988679,216251
8,15,15,15,995969,218033
9,6,6,6,988033,205326
10,14,14,14,992379,213117
11,9,9,9,981671,194888
12,6,6,6,985038,207617
13,16,16,16,995469,220155
14,17,17,17,993006,216734
15,11,11,11,989422,209438
16,8,8,8,993179,229948
17,19,19,19,989402,223459
18,7,7,7,988395,211657
19,10,10,10,984416,210430
20,19,19,19,988933,218584
21,16,16,16,998055,216625
22,14,14,14,998284,240791
23,13,13,13,993280,232095
24,9,9,9,992121,228721
25,5,5,5,982518,196579
26,14,14,14,988013,209884
27,9,9,9,982412,205329
28,5,5,5,999501,232569
29,18,18,18,995340,223294
30,10,10,10,997588,230405
31,8,8,8,989124,221501
32,5,5,5,991310,211381
33,20,20,20,990440,226092
34,16,16,16,989727,211015
35,12,12,12,982202,210041
36,20,20,20,987714,214449
37,17,17,17,991321,227347
38,11,11,11,990804,211933
39,14,14,14,988905,209418
40,17,17,17,1000173,239535
41,12,12,12,991823,228255
42,11,11,11,986625,214525
43,20,20,20,999486,235818
44,20,20,20,988301,209724
45,9,9,9,999433,231721
46,6,6,6,998025,240595
47,7,7,7,1000173,239535
48,7,7,7,996048,218232
49,14,14,14,984839,209257
50,5,5,5,999155,232122
51,11,11,11,1000532,243220
52,18,18,18,989867,218405
53,9,9,9,988434,207499
54,19,19,19,982678,208251
55,8,8,8,1001607,241311
56,8,8,8,979591,195398
57,8,8,8,990847,210392
58,8,8,8,990782,226624
59,10,10,10,987039,202831
60,9,9,9,979755,199948
61,14,14,14,983473,199697
62,15,15,15,989133,221792
63,6,6,6,986372,214030
64,11,11,11,997442,234789
65,16,16,16,988082,206314
66,20,20,20,987592,205978
67,15,15,15,994705,219029
68,14,14,14,999942,232988
69,6,6,6,986011,217013
70,10,10,10,989024,210824
71,7,7,7,999759,227936
72,20,20,20,991136,215674
73,16,16,16,1001118,233511
74,12,12,12,1000237,238837
75,10,10,10,985894,201558
76,6,6,6,988469,217746
77,15,15,15,1001745,228438
78,7,7,7,989909,225169
79,5,5,5,997432,223740
80,12,12,12,994870,216298
81,18,18,18,998364,225575
82,5,5,5,981731,195729
83,17,17,17,989097,210752
84,19,19,19,984807,207415
85,14,14,14,1002821,249211
86,6,6,6,987582,216142
87,6,6,6,994345,218375
88,16,16,16,996455,222130
89,9,9,9,987492,210008
90,13,13,13,989526,221363
91,18,18,18,998793,227318
92,20,20,20,999134,235128
93,13,13,13,986612,210675
94,15,15,15,999814,241795
95,18,18,18,993108,227963
96,17,17,17,986081,213355
97,17,17,17,993636,217853
98,18,18,18,993149,231827
