1,1007787,188782
2,991914,185945
3,981378,185290
4,1010512,186425
5,1019725,185360
6,987393,155196
7,1005622,196721
8,988847,182726
9,991475,189246
10,994132,184101
11,989290,190893
12,990699,175622
13,990971,176374
14,1007851,178180
15,977169,168709
16,980467,174599
17,1010529,188063
18,1002656,182831
19,986784,189257
20,988148,191456
21,1015525,187289
22,997139,190529
23,987495,183684
24,995836,176793
25,998414,174307
26,1008673,186426
27,998683,199280
28,1010860,190226
29,1000295,183161
30,1000653,186995
31,986981,191538
32,1015856,181632
33,987300,172039
34,995864,183626
35,1010544,181369
36,998516,185336
37,1006867,195704
38,980955,168515
39,990659,188644
40,1002331,188120
41,976051,170124
42,996018,196833
43,997999,187182
44,998242,176400
45,988934,186041
46,1012946,185047
47,993695,172740
48,998379,192330
49,1008593,193400
50,997991,183323
51,993479,149169
52,984799,188189
53,991301,170877
54,1002790,165081
55,1008765,194249
56,988121,149361
57,990444,188607
58,992079,154428
59,983312,160790
60,989713,182017
61,998034,199432
62,1012134,173266
63,975540,163839
64,997917,203800
65,990201,188279
66,975677,163929
67,996218,187524
68,991079,189613
69,998049,194446
70,986649,192732
71,998067,178516
72,997270,161612
73,993670,189708
74,1014973,170451
75,996874,205731
76,1014664,184381
77,1000926,197130
78,996629,153139
79,980921,163814
80,992281,185284
81,997931,182608
82,989889,173918
83,1006459,169773
84,997718,198969
85,988073,159946
86,993446,189967
87,1007286,165122
88,997754,203284
89,1005367,154732
90,1003463,186794
91,984779,179876
