190,185,185,185,190,185,185,190,185,185,190,185,190,185,185,185,185,185,185,185,190,190,185,190,190,190,185,185,190,190,190,185,185,185,185,185
190,185,185,185,190,185,185,190,185,185,190,185,190,185,185,185,185,185,185,185,190,190,185,190,190,190,185,185,190,190,190,185,185,185,185,185
190,185,185,185,190,185,185,190,185,185,190,185,190,185,185,185,185,185,185,185,190,190,185,190,190,190,185,185,190,190,190,185,185,185,185,185
190,185,185,185,190,185,185,190,185,185,190,185,190,185,185,185,185,185,185,185,190,190,185,190,190,190,185,185,190,190,190,185,185,185,185,185
190,185,185,185,190,185,185,190,185,185,190,185,190,185,185,185,185,185,185,185,190,190,185,190,190,190,185,185,190,190,190,185,185,185,185,185
190,185,185,185,190,185,185,190,185,185,190,185,190,185,185,185,185,185,185,185,190,190,185,190,190,190,185,185,190,190,190,185,185,185,185,185
190,185,185,185,190,185,185,190,185,185,190,185,190,185,185,185,185,185,185,185,190,190,185,190,190,190,185,185,190,190,190,185,185,185,185,185
370,365,365,365,370,365,365,370,365,365,370,365,370,365,365,365,365,365,365,365,370,370,365,370,370,370,365,365,370,370,370,365,365,365,365,365
370,365,365,365,370,365,365,370,365,365,370,365,370,365,365,365,365,365,365,365,370,370,365,370,370,370,365,365,370,370,370,365,365,365,365,365
370,365,365,365,370,365,365,370,365,365,370,365,370,365,365,365,365,365,365,365,370,370,365,370,370,370,365,365,370,370,370,365,365,365,365,365
370,365,365,365,370,365,365,370,365,365,370,365,370,365,365,365,365,365,365,365,370,370,365,370,370,370,365,365,370,370,370,365,365,365,365,365
370,365,365,365,370,365,365,370,365,365,370,365,370,365,365,365,365,365,365,365,370,370,365,370,370,370,365,365,370,370,370,365,365,365,365,365
370,365,365,365,370,365,365,370,365,365,370,365,370,365,365,365,365,365,365,365,370,370,365,370,370,370,365,365,370,370,370,365,365,365,365,365
370,365,365,365,370,365,365,370,365,365,370,365,370,365,365,365,365,365,365,365,370,370,365,370,370,370,365,365,370,370,370,365,365,365,365,365
370,365,365,365,370,365,365,370,365,365,370,365,370,365,365,365,365,365,365,365,370,370,365,370,370,370,365,365,370,370,370,365,365,365,365,365
370,365,365,365,370,365,365,370,365,365,370,365,370,365,365,365,365,365,365,365,370,370,365,370,370,370,365,365,370,370,370,365,365,365,365,365
370,365,365,365,370,365,365,370,365,365,370,365,370,365,365,365,365,365,365,365,370,370,365,370,370,370,365,365,370,370,370,365,365,365,365,365
370,365,365,365,370,365,365,370,365,365,370,365,370,365,365,365,365,365,365,365,370,370,365,370,370,370,365,365,370,370,370,365,365,365,365,365
370,365,365,365,370,365,365,370,365,365,370,365,370,365,365,365,365,365,365,365,370,370,365,370,370,370,365,365,370,370,370,365,365,365,365,365
370,365,365,365,370,365,365,370,365,365,370,365,370,365,365,365,365,365,365,365,370,370,365,370,370,370,365,365,370,370,370,365,365,365,365,365
370,365,365,365,370,365,365,370,365,365,370,365,370,365,365,365,365,365,365,365,370,370,365,370,370,370,365,365,370,370,370,365,365,365,365,365
554,549,549,549,554,549,549,554,549,549,554,549,554,549,549,549,549,549,549,549,554,554,549,554,554,554,549,549,554,554,554,549,549,549,549,549
554,549,549,549,554,549,549,554,549,549,554,549,554,549,549,549,549,549,549,549,554,554,549,554,554,554,549,549,554,554,554,549,549,549,549,549
554,549,549,549,554,549,549,554,549,549,554,549,554,549,549,549,549,549,549,549,554,554,549,554,554,554,549,549,554,554,554,549,549,549,549,549
554,549,549,549,554,549,549,554,549,549,554,549,554,549,549,549,549,549,549,549,554,554,549,554,554,554,549,549,554,554,554,549,549,549,549,549
554,549,549,549,554,549,549,554,549,549,554,549,554,549,549,549,549,549,549,549,554,554,549,554,554,554,549,549,554,554,554,549,549,549,549,549
554,549,549,549,554,549,549,554,549,549,554,549,554,549,549,549,549,549,549,549,554,554,549,554,554,554,549,549,554,554,554,549,549,549,549,549
554,549,549,549,554,549,549,554,549,549,554,549,554,549,549,549,549,549,549,549,554,554,549,554,554,554,549,549,554,554,554,549,549,549,549,549
