200,200,195,195,195,195,195,200,195,195,200,195,195,195,200,195,195,200,200,200,200,195,200,195,195,195,200,200,195,195,195,200,195,200
200,200,195,195,195,195,195,200,195,195,200,195,195,195,200,195,195,200,200,200,200,195,200,195,195,195,200,200,195,195,195,200,195,200
200,200,195,195,195,195,195,200,195,195,200,195,195,195,200,195,195,200,200,200,200,195,200,195,195,195,200,200,195,195,195,200,195,200
200,200,195,195,195,195,195,200,195,195,200,195,195,195,200,195,195,200,200,200,200,195,200,195,195,195,200,200,195,195,195,200,195,200
200,200,195,195,195,195,195,200,195,195,200,195,195,195,200,195,195,200,200,200,200,195,200,195,195,195,200,200,195,195,195,200,195,200
200,200,195,195,195,195,195,200,195,195,200,195,195,195,200,195,195,200,200,200,200,195,200,195,195,195,200,200,195,195,195,200,195,200
200,200,195,195,195,195,195,200,195,195,200,195,195,195,200,195,195,200,200,200,200,195,200,195,195,195,200,200,195,195,195,200,195,200
393,393,388,388,388,388,388,393,388,388,393,388,388,388,393,388,388,393,393,393,393,388,393,388,388,388,393,393,388,388,388,393,388,393
393,393,388,388,388,388,388,393,388,388,393,388,388,388,393,388,388,393,393,393,393,388,393,388,388,388,393,393,388,388,388,393,388,393
393,393,388,388,388,388,388,393,388,388,393,388,388,388,393,388,388,393,393,393,393,388,393,388,388,388,393,393,388,388,388,393,388,393
393,393,388,388,388,388,388,393,388,388,393,388,388,388,393,388,388,393,393,393,393,388,393,388,388,388,393,393,388,388,388,393,388,393
393,393,388,388,388,388,388,393,388,388,393,388,388,388,393,388,388,393,393,393,393,388,393,388,388,388,393,393,388,388,388,393,388,393
393,393,388,388,388,388,388,393,388,388,393,388,388,388,393,388,388,393,393,393,393,388,393,388,388,388,393,393,388,388,388,393,388,393
393,393,388,388,388,388,388,393,388,388,393,388,388,388,393,388,388,393,393,393,393,388,393,388,388,388,393,393,388,388,388,393,388,393
393,393,388,388,388,388,388,393,388,388,393,388,388,388,393,388,388,393,393,393,393,388,393,388,388,388,393,393,388,388,388,393,388,393
393,393,388,388,388,388,388,393,388,388,393,388,388,388,393,388,388,393,393,393,393,388,393,388,388,388,393,393,388,388,388,393,388,393
393,393,388,388,388,388,388,393,388,388,393,388,388,388,393,388,388,393,393,393,393,388,393,388,388,388,393,393,388,388,388,393,388,393
393,393,388,388,388,388,388,393,388,388,393,388,388,388,393,388,388,393,393,393,393,388,393,388,388,388,393,393,388,388,388,393,388,393
393,393,388,388,388,388,388,393,388,388,393,388,388,388,393,388,388,393,393,393,393,388,393,388,388,388,393,393,388,388,388,393,388,393
393,393,388,388,388,388,388,393,388,388,393,388,388,388,393,388,388,393,393,393,393,388,393,388,388,388,393,393,388,388,388,393,388,393
585,585,580,580,580,580,580,585,580,580,585,580,580,580,585,580,580,585,585,585,585,580,585,580,580,580,585,585,580,580,580,585,580,585
585,585,580,580,580,580,580,585,580,580,585,580,580,580,585,580,580,585,585,585,585,580,585,580,580,580,585,585,580,580,580,585,580,585
585,585,580,580,580,580,580,585,580,580,585,580,580,580,585,580,580,585,585,585,585,580,585,580,580,580,585,585,580,580,580,585,580,585
585,585,580,580,580,580,580,585,580,580,585,580,580,580,585,580,580,585,585,585,585,580,585,580,580,580,585,585,580,580,580,585,580,585
585,585,580,580,580,580,580,585,580,580,585,580,580,580,585,580,580,585,585,585,585,580,585,580,580,580,585,585,580,580,580,585,580,585
585,585,580,580,580,580,580,585,580,580,585,580,580,580,585,580,580,585,585,585,585,580,585,580,580,580,585,585,580,580,580,585,580,585
585,585,580,580,580,580,580,585,580,580,585,580,580,580,585,580,580,585,585,585,585,580,585,580,580,580,585,585,580,580,580,585,580,585
